complexity,loss,equation,score,sympy_format,lambda_format
16,22.649487,(sqrt(sqrt(x28)) * 4.5400777) + (((sqrt(sqrt(x61)) - x64) * -3.4515858) - sqrt(x59)),0.014602076196017699,4.5400777*x28**(1/4) - sqrt(x59) - 3.4515858*x61**(1/4) + 3.4515858*x64,PySRFunction(X=>4.5400777*x28**(1/4) - sqrt(x59) - 3.4515858*x61**(1/4) + 3.4515858*x64)
17,21.917805,((sqrt(x61) - x64) * -2.5619705) + ((sqrt(x26) + (sqrt(x28) * 2.644238)) - sqrt(x59)),0.03283788246145716,sqrt(x26) + 2.644238*sqrt(x28) - sqrt(x59) - 2.5619705*sqrt(x61) + 2.5619705*x64,PySRFunction(X=>sqrt(x26) + 2.644238*sqrt(x28) - sqrt(x59) - 2.5619705*sqrt(x61) + 2.5619705*x64)
18,21.462076,((((sqrt(x61) - x64) * -2.600637) + sqrt(x26)) + (sqrt(sqrt(x28)) * 3.9191406)) - sqrt(x59),0.02101184956332053,sqrt(x26) + 3.9191406*x28**(1/4) - sqrt(x59) - 2.600637*sqrt(x61) + 2.600637*x64,PySRFunction(X=>sqrt(x26) + 3.9191406*x28**(1/4) - sqrt(x59) - 2.600637*sqrt(x61) + 2.600637*x64)
19,21.349993,((sqrt(x26) + ((sqrt(x61) - x64) * -2.6712947)) + (sqrt(sqrt(sqrt(x28))) * 4.766467)) - sqrt(x59),0.005236058835422875,sqrt(x26) + 4.766467*x28**(1/8) - sqrt(x59) - 2.6712947*sqrt(x61) + 2.6712947*x64,PySRFunction(X=>sqrt(x26) + 4.766467*x28**(1/8) - sqrt(x59) - 2.6712947*sqrt(x61) + 2.6712947*x64)
20,21.00885,((sqrt(sqrt(x28)) * 4.5974245) + (((sqrt(x61) - x64) * -2.5531726) - sqrt(x59))) + (sqrt(x26) + -1.0301865),0.01610763428695529,sqrt(x26) + 4.5974245*x28**(1/4) - sqrt(x59) - 2.5531726*sqrt(x61) + 2.5531726*x64 - 1.0301865,PySRFunction(X=>sqrt(x26) + 4.5974245*x28**(1/4) - sqrt(x59) - 2.5531726*sqrt(x61) + 2.5531726*x64 - 1.0301865)
21,20.317282,(sqrt(x26) + ((((sqrt(x61) - x64) * -2.3419843) - sqrt(x54)) + sqrt(sqrt(x28) * 22.851694))) - sqrt(x59),0.03347192359765626,sqrt(x26) + 4.78034454825173*x28**(1/4) - sqrt(x54) - sqrt(x59) - 2.3419843*sqrt(x61) + 2.3419843*x64,PySRFunction(X=>sqrt(x26) + 4.78034454825173*x28**(1/4) - sqrt(x54) - sqrt(x59) - 2.3419843*sqrt(x61) + 2.3419843*x64)
22,20.120712,(((sqrt(sqrt(sqrt(x28))) + ((sqrt(x61) - x64) * -0.3788347)) * 5.9753942) + (sqrt(x26) - sqrt(x59))) - sqrt(x55),0.009722121641749988,sqrt(x26) + 5.9753942*x28**(1/8) - sqrt(x55) - sqrt(x59) - 2.26368666913874*sqrt(x61) + 2.26368666913874*x64,PySRFunction(X=>sqrt(x26) + 5.9753942*x28**(1/8) - sqrt(x55) - sqrt(x59) - 2.26368666913874*sqrt(x61) + 2.26368666913874*x64)
23,19.636837,(((sqrt(x18 + x26) + ((sqrt(x61) - x64) * -2.3930454)) + sqrt(sqrt(x28 * 432.31537))) - sqrt(x59)) - sqrt(x55),0.024342491202646435,4.55984593268554*x28**(1/4) - sqrt(x55) - sqrt(x59) - 2.3930454*sqrt(x61) + 2.3930454*x64 + sqrt(x18 + x26),PySRFunction(X=>4.55984593268554*x28**(1/4) - sqrt(x55) - sqrt(x59) - 2.3930454*sqrt(x61) + 2.3930454*x64 + sqrt(x18 + x26))
24,19.1615,(sqrt(x26) + ((((x64 - sqrt(x61)) * 2.625368) + sqrt(x18)) + (sqrt(sqrt(x28 * 317.45825)) - sqrt(x59)))) - sqrt(x55),0.024504183498149465,sqrt(x18) + sqrt(x26) + 4.2210612539312*x28**(1/4) - sqrt(x55) - sqrt(x59) - 2.625368*sqrt(x61) + 2.625368*x64,PySRFunction(X=>sqrt(x18) + sqrt(x26) + 4.2210612539312*x28**(1/4) - sqrt(x55) - sqrt(x59) - 2.625368*sqrt(x61) + 2.625368*x64)
26,18.37061,sqrt(x26) + ((((x64 - sqrt(x61)) * 2.397581) + ((sqrt(x18) + sqrt(sqrt(x28 * 574.4991))) - sqrt(x59))) - sqrt(x55 + x51)),0.021075476294104858,sqrt(x18) + sqrt(x26) + 4.89578500895868*x28**(1/4) - sqrt(x59) - 2.397581*sqrt(x61) + 2.397581*x64 - sqrt(x51 + x55),PySRFunction(X=>sqrt(x18) + sqrt(x26) + 4.89578500895868*x28**(1/4) - sqrt(x59) - 2.397581*sqrt(x61) + 2.397581*x64 - sqrt(x51 + x55))
